L11
decade                  十年
deck                      甲板
clear the decks             準備行動
decorate                裝飾
decrease                減小
Sam's account decreased little by little            山姆的戶頭一點一點的減少
deed                      行為
title deed               地契、所有權狀
deepen                  使變深
As the crisis deepened, we should be more careful.              當危機加重時，我們應該更加小心
definition               定義
by definition          當然地
democracy             [diˋmɔkrəsi]民主
A true democracy allows free speech.            真正的民主國家允許言論自由
live in democracy           住在民主國家裡
democratic             公民的
Democratic Party            民主黨 (美國的一個政黨，與共和黨並列為美國兩大主要政黨)
deposit                   存款；留下;存放
He paid one thousand dollars as a deposit           他付一千元當訂金
designer                 設計者
desirable                 /dɪˈzaɪr.ə.bəl/值得擁有的
The bag doesn't have any desirable features.            這個包包沒有值得擁有的特點
desire                      渴望
have/has no desire          不想
left in peace               就像當 Dean 付帳時最好讓他安靜。這個表達使用和平的意思是“(undisturbed)不受干擾”，
I desire only to be left in peace               我只想清清靜靜地不受打擾。
dessert                     甜點
destory                    破壞
detect                      探查
detect the disease          檢查疾病
Some sounds connot be detected by the human ear             有些聲音是人的耳朵無法察覺到的。
determine                決定
devil                         /ˈdev.əl/魔鬼；壞蛋，淘氣鬼，搗蛋鬼（尤指孩子）
a devil job                難熬的事
dim                          /dɪm/(形)微暗的、(動)變暗淡
The lamp gave out a dime light          那盞燈發出暗淡的光芒。
the dim and distant past            很久的過去
dime                         /daɪm/一角硬幣；（美國或加拿大的）十分硬幣
dime novel              有動人故事但無文學價值的小說
dine                          /daɪn/用餐





L12
dinosaur                        恐龍
dip                                 /dɪp/(動)浸；泡、(動)清洗液
She dipped her toe into the pool the see how cold it was                她把腳趾伸到游泳池裡試試水有多涼。
dip into one's pocket               自掏腰包
dirt                                塵土
His coat was covered with dirt          他的外套上滿是泥土。
dish the dirt on             說閒話
discount                        打折；折扣
at a discount                 在打折
dishonest                      不誠實的
Dishonest poeple are not popular            不誠實的人不會受歡迎
disk/disc                        圓盤；盤狀物
hard disk                       硬碟
dislike                            不喜歡
have a dislike for           討厭
ditch                              (名)水道、(動)拋棄
getaway                         （通常指犯罪後）逃跑，逃走，逃離
robbery                         /ˈrɑː.bɚ.i/搶劫;盜竊
The getaway car had been ditched a couple of miles away from the scene of the robbery           逃離現場用的車輛被丟棄在距搶劫地兩英里以外的地方。
last ditch                       孤注一擲
dive                               潛水
dizzy                             暈眩的
dock                             (名)碼頭、(動)靠碼頭
He is dock worker               他是碼頭工人
dolphin                         海豚
donkey                          驢子
talk the hind leg off a donkey              喋喋不休
