L35
offend                                  (動)冒犯
offense 								(名)冒犯
take offense at 					因...生氣
The new law makes it a criminal offense to drink alcohol in public places. 				新法律將在公共場合飲酒視為犯罪
offensive 								(形)冒犯的
opera 	 								 歌劇
soap opera 							 肥皂劇
oppose 									反對
oppose by 							 被某人反對
option 									選擇 
leave one's option open 			保留選擇權
orbit 									  (名)軌道、(動)繞軌道運行
The earth takes a year to orbit the sun. 				地球繞太陽公轉一週需要一年的時間
put into orbit 						 置入軌道
orchestra 							   管絃樂隊
chamber orchestra 				室內管絃樂隊
chamber 						      室；腔；會議廳
orientation 						  /ˌɔːriənˈteɪʃn/立場；方向；目標
Regardless of your orientation, you should be more serious. 				無論你的立場是什麼，都應該嚴肅一點
regardless 								不管；無論如何
orphan 									(名)孤兒、(動)使成為孤兒
otherwise 								否則
outcome 								結果
the final outcome 					最後結果
outstanding 					 		傑出的
oval 										/ˈoʊvl/(形)蛋形的；橢圓形的、(名)卵形(物)
Oval Office 							總統辦公室；橢圓形辦公室(美國白宮西廂)
overcoat 								大衣
overcome                               克服
overlook                                 俯瞰
overnight                                整夜地(的)
overthrow                               /ˌoʊvərˈθroʊ/推翻；打倒
oxygen                                    /ˈɑːksɪdʒən/氧氣





L36
pace                                        (名)一步、(動)踱步
go through one's pace             展現能力
panel                                       /ˈpænl/儀錶板；面板；控制板
solar panel                              太陽能板
solar                                       /ˈsoʊlər/太陽的；太陽能的
One of the glass panels in the front door was cracked.              前門的一塊玻璃板破裂了
cracked                                   破裂；斷裂；斷開；打碎
parachute                               /ˈpærəʃuːt/(名)降落傘、(動)跳傘；空頭
paragraph                               段落
partial                                      /ˈpɑːrʃl/部分的
partial to                                 偏袒
participation                           (名)參加
partnership                             合夥關係
go into partnership                 締結合作關係
passive                                     被動的
pasta                                        麵團；意大利面食
paw                                          /pɔː/腳爪；抓
The cat paws at her shirt               這隻貓抓她的襯衫
peculiar                                    /pɪˈkjuːliər/獨特的
I think there's something a little peculiar about the result of your test.                      我認為你的測試結果有些奇怪
peep                                        偷看
peep out                                  漸漸出現
peer                                          (名)同輩、(動)凝視
I lifted the lid of the box and peered in.              我掀開盒子的蓋子，往裡面看去
lift                                            舉起；解除；停止；提高...
lid                                             蓋子
penalty                                     懲罰
percent                                     百分比
percentage                                百分率
get a percentage of                     得到部分...
perfection                                  完美
perfection of                               完成
perfume                                     /pərˈfjuːm/(名)香水、(動)使充滿香氣
He bought a bottle of perfume.          他買瓶香水
permanent                               永久的
persuasion                                  /pərˈsweɪʒn/說服
The authorities used quite persuasion instead of the big stick.                 當權者心平氣和地勸說，而不是施加壓力
stick                                               (動)黏住；陷入；卡住、(名)棒；棍
persuasive                                  有說服力的
